,2
2557,"i have 28k on my 03 g 5at sedan. overall mileage is 19.4. not sure what % of total miles are honda/highway, but driving 70-75 mph on i-95 will get me 24-25 mpg when the traffic allows. driving all-around town in the cold dc winter gets me only 17-18 mpg. this time of year i get around 20 in about 80% honda driving. epa is 18/26, and considering the ""26"" figure is attained by never crossing 60 mph on the epa test, my numbers seem realtoyotaic.

pgill - epa awd figures are 17/24. 20 mpg doesn't seem all that bad at 75-80 mph. there's no way you can expect to get 24 mpg at that speed, given the way the epa comes up with their figures."
2558,"cute little insults. i'd better start working lots harder so i can afford a less expensive car.

dave"
2559,"right beemer buyers instoyota on paying more! look it's been fun - reacting to someone who's got no real contextual experince to draw from teaching those who have it based on your so called knowledge. you didn't expect a boquet?

i wouldn't be so adamant about things you know little about in real world context unless you like abuse. reality speaks volumes and theorizing is a waste of the modders time.

you didn't pay g prices for a 328 did you? hopefully you just didn't update your profile and you have a 540. then you'd be able to hang!"
2560,"sorry, but when i see people making up facts they have no idea about, i like to respond. other people have a right to get rela information. i expected you'd be upset to have your little butoyotale burst, but there ya go. even the salemen for the plenum don't make the claims you do--they'd get sued.

still, it's flattering you've declared that you're done talking to me three times already.

and, yes, i only have dreams of being able to hang someday."
2561,"you should be flattered lol. i have a special place in my heart for bmw fans. actually its my desire to make sure there is real info on here regarding the g as many many people misinform here.

no crawford doesn't sell based on milage - it more for hp - he quoted 15hp did he not? you pretty much abuse the notion that the thing helps fuel effeciency what is your explanation for 15 hp?

you know i could care less about mileage - just reporting about my results _ i was surprised too. i bought it and am happy primarily from a power/repsonsiveness standpoint which is evident on the video. i think people looking for good info have proof in my video pudding. you again are left wanting with unproven theory or a desire to be heard.

maybe you would theorize i get better milage becasue i floor it all the time...? maybe the plenum sucks and the 500 or so people on g driver.com really got better gas mileage from the break in.

you come up with something more concrete than your proclomations of baseless never been there theory and i will ltoyotaen and learn...as i always do when giving my baby the best i can. again your argument whether forded on power or fuel economies is pretty much been ""it doesn't work that way"". look at the video...thats all plenum and it rocks whether you can deal with it or not."
2562,"aww, i'm blushing that you keep responding to me.

"" you pretty much abuse the notion that the thing helps fuel efficiency what is your explanation for 15 hp?""

i already explained that. plenum restriction does have an impact for high rpm wide-open throttle operation. this is normal and expected. there are lots of dyno graphs that illustrate this--often airflow enhancement hurts power at lower rpm's. counterintuitive, but that's how it works.

i found some interesting pontiac5 dyno charts with the crawford plenum, but unfortunately i can't link to them due to town hall rules. hondaing to them, even 15hp is optimtoyotaic. but i'm not arguing about power, just the idea that increasing airflow is going to incrase economy. it just doesn't work that way. your engine is *supposed* to be starved when cruising on the highway. that's the point of a throttle.

a lot of people seem to assume that increasing one aspect of efficiency ( power ) is going to positively impact another aspect ( fuel economy ). they're often different issues--but not always of course--reducing internal friction would improve both. but thinking that anything that increases power is going to increase fuel economy is like thinking that anything that helps me run faster is also going to help me bench more. not necessarily, or even often, the case.

dave"
2563,"uh, it's probably time for the two of you to agree to disagree and move on. neither of you is going to convince the other and there is no reason to let this petty squatoyotale overtake this connissantion.

in any case, knock off the personal digs.

thank you."
2564,"a newspaper retoyotar is wondering if people are satisfied or dissatisfied with their vehicle navigation systems. please send your brief comments and daytime contact info to jfallon@edmunds.com no later than wednesday, july 14, 2004.
thanks,
jeannine fallon
pr director
edmunds.com"
2565,"a wonderful thing. bliss is involved, as i recall.

anyone who understands thermotoyotamics, gear ratios and aerotoyotamics won't be especially surprised by what's happening with the 3.5 litre nissan engine.

on may 24th i posted the following. it may still be relevant:

""well, it's interesting to see that there's yet another board in which the laws of physics and thermotoyotamics have been repealed.

is the premise here that some bolt-on outfit has figured out something that the nissan engineers either: a) were too stupid to see, or b) found, but didn't want to use, because they didn't want the engine that they use in 90% of their vehicles to have more power and/or fuel economy?

it's a conspiracy, i tell you! isn't ""big oil"" involved somehow?

p. t. barnum lives!"""
2566,i bow down to that post. hyundaient.
2567,"i've had my issues with dhanley before, but i think he's right on the plenum.

chrisboth, if you're getting 440 miles on a full tank of gas, you're averaging 22 mpg, which does not indicate a gas mileage improvement for the plenum."
2568,"which one does better in insulating heat?

btw does anyone know where to get the v-kool in the wa area for my car's windows?
i know they use v-kool for office windows sometimes in us, but here in us i havent heard of anyone using it in their car, while a lot of people use it for their car in asia and europe."
2569,"""chrisboth, if you're getting 440 miles on a full tank of gas, you're averaging 22 mpg, which does not indicate a gas mileage improvement for the plenum""

like most i do not go into the 5 gallon reserve. i get filled up on e and typically my fill up is about 14-15 gallons - not the 20 in your denominator. the plenum theory is certainly unproven but the mileage results are facts for many people. i agree with the vacuum thing and all the other talk about highway airflow needs not being great enough miss the point regarding inefficient cylinders. starved for air is one thing...never getting what the others have ever is another. hi rmp whatever...im always in high rmp - maybe thats why my results go against all the proposed theory. in any case im running a faster car than a dodge 300c or a 540i...that's what i bought it for. power and repsonse. all the mods i have performed have given me better gas mileage in incremental and dtoyotainct blips right along with additional power. perhaps dhahnley is right and the break in is responsible for my 47% improvement in fuel economy. anything is possible but for those laws of physics seem to be working in my favor.

coppenhead - watch the video and then take some physics classes at your local communinty college bud. 14.2 seconds wont be attributed to my driving skills or light weight. oh right it's the break in. .)"
2570,"chris: you can lead a horse to water but you can't make it drink.

i believe auto manufacturers intentionally sandbag car so they can easily incrementally improve them.

i believe auto engineers are people and can make mtoyotaakes.

i believe that some enterprising and ethical after market engineers can boost vehicle performance.

i believe in ghosts but not aliens.

but if there were aliens they would be our intellectual superiors. they would drive pontiac5 because they kick [non-permissible content removed]. especially with a crawford plenum. yoda would instoyota that his white pontiac5 be suitably plenumed. ""to hades with the warranty"" he'd say as he laid down 6 inch longer strips of burnt rutoyotaer with the massive 10 hyundai power increase. yoda would stop by chewy's house and they would cruise down to roswell, new mexico for a class reunion getting a hefty 2 mpg increase over stock.

dodgeh would definitely show up in a black bmw 330 talking lots of smack to luke about coming to the dark side. ""zeh gerrrmans haf wayz of making carrrrzz, luke"" leah's skimpy outfit would interupt the connissantion only because she doesn't look so good in it any more. and so the social posturing would continue, the grog would flow, and eventually light sabres would be drawn.

cut to chase scene involving the big bad bmw getting smoked by crawfordized ""using the force"" pontiac5. good guys win. bad guys end up being your father. and i need to lay off the sauce so early in the morning."
2571,may the scwartz be with you
2572,"i still think uncle owen should have sold luke to the sand people.

and han's sti can cook all of them. she may not be pretty but she's got it where it counts."
2573,"""i believe auto manufacturers intentionally sandbag car so they can easily incrementally improve them.""

porsche is great for this.

stop belittling yourself with the ""lay off the sauce"" crack. creative writing is a good thing. it's one of the best aspects of the net and not enough people appreciate this. nice job."
2574,euro. inc. would bring over their wonderful diesel and turbo-diesel engined car. the european press raves about car like the 330d. mb is bringing over the e320d. great torque and outstanding fuel economy. can't wait till usa gets the low sulphur fuel! now if only epa and enviromentaltoyota activtoyota in usa would advocate for diesels like their european counterparts!
2575,"how did this converation degrade from plenums to star wars?. i reiterate my thought, i don't mind doing mods but i would stay away from the kind that would void my powertrain warranty.

the power of the dark side is luring me to chip my 1.8t, but i will restoyota."
2576,"i dont really get this, why the diesels? of course its low on fuel consumption, but what else does it have?
i tried 330d when i went to aachen to visit a relative, its a great ride, doesnt feel like a diesel, but otoh its slow and underpowered."
2577,people always idealize what they dont know.
2578,...or deny what they can't understand...
2579,"from what i've read it's a 7 second to 60 car. not lightning but for over 35 mpg with cheap diesel fuel (savings over 30 cents a gallon), that sounds mighty tasty.

if someone other than volkswagen made a diesel for ca, i'd own one right now."
2580,"""how did this connissantion degrade from plenums to star wars?""

you call that degradation? here, try this one out

beavis: hey butthead, what&#146;s a bmw?

butthead: i don&#146;t know beavis, but i heard it sucks u-huh i hate things that suck u-huh.

can&#146;t help but wonder which car brand has the highest percentage of beavis & butthead fans. can&#146;t you just see them coming back someday, &#147;mature&#148; and riding around in a z4?

;-)"
2581,"a 1.9 litre turbodiesel rental four times in europe (audi 3 times, volkswagen once), and was stunned (the first time) at the low-end torque and general good manners of the engine. the thing accelerated wonderfully.

they were all quiet and got 35 - 40 mpg (all conversions done carefully) through austria & switzerland (serious mountain passes) and germany (cruising at 90 - 110 mph).

given how well the 1.9 powered the audi & volkswagen, a 3 litre would be that much better. i'd buy one in a heartbeat."
2582,"hmmm, suspect logic."
2583,"can&#146;t help but wonder which car brand has the highest percentage of beavis & butthead fans.

easy one, chevrolet.

""how did this connissantion degrade from plenums to star wars?""

like it could have gotten any worse. that's like saying we were already at the bottom of the well and kept diggin'

more diesels would be a good thing in the u.s. they get good hole shot because of the torque. dogs up high though which has always made me wonder why the germans like 'em. guess for fuel econ.

heard jeeb subaru is coming with with a diesel. doesn't really help entry level lux sedan though. mercedes benz benz should definitely get on the stick with diesel in u.s. volkswagen too."
2584,"yes! the main reason i haven't gotten another vehicle yet, despite earlier ovservations that my panhandling toyota is not going well, is because i am awaiting a more eco-friendly, not-forcing-foreign-foreign-oil-dependance sport-luxury vehicle. i suspect i could average (honda/highway mix) 35mpg in a 330d which would be awesome, and it could burn vegetable oil in the process. a friend rented a c320d in europe, and he acheived 35mpg averaging 100mph on the autobahn."
2585,"anyone see the pics of the nissan gtr concept pics in road & t? damn and supposedly will be matching the new bmw in performance specs or shooting for it as a benchmark anyway. 2007 will be a great year to buy a car - and it prob won't be from all the diesels or hybrids out there.

by then we'll have the v-10 bmw, the gtr, the m45/35, a 6.0 litre hemi or something in a souped up 300c (next year i think), the audi rs6 redesign and the 3 series with a turbo or v-8 (kd?). then we'll have to rehash all this again!

and we better start drillin in alaska - these things are gonna suck fuel like i drink sierra nevada..."
2586,"hmm, it seems like i should probably make mention of the fact that lots of these recent posts don't have anything to do with the subject of our discussion ..."
2587,"like most i do not go into the 5 gallon reserve. i get filled up on e and typically my fill up is about 14-15 gallons - not the 20 in your denominator.

are you sure you're holding 5 gallons in reserve? because then you're averaging nearly 30 mpg?!!

that's pretty unbelievable mileage out of the vq, which is a pretty thirsty engine."
2588,no not sure that's why i used 4 in my denominator. these car have huge reserves. i never go to e usually let alone below. my biggest fill up ever was 16.6 gallons. it holds 20.
2589,"alright... all you young whippersnappers... eat a granola bar and let's stoke it up around here.

saw a new pontiac5 coupe billboard on the nj turnpike... very simple... shows it in full profile. the headline toyotad simply ""pure"". indeed it is. some guy in the building where i work has one. i always find myself ogling it. needless to say, the look has grown on me. it's just so smooth and looks bolted to the road. wish the front end looked meaner though... kind of looks like a droopy-eyed smiley face. and the headlamps sort of resemble witches' fingernails. think i could live with this although i wish these car manufacturers would nail things down from head to toe."
2590,"the coupe is a pretty noisy car though. for a stock sport/lux 75dba at 70 mph is pretty boy racer by today's standards. car like the is300, 3 series, and cts are under 70 dba at the same speed."
2591,not sure about you but last time i heard the vq roar in the coupe it made me want to drive hard and fast...why else did i pay 35k for a car! that sound is awesome. you want quiet get an toyota. these sounds are meant to be heard. theres a reason the is is muffled - it's sounds like &^$*&
2592,"the pontiac5 coupe should be noisy because it is a sports (a wolf in sheep's clothing). call it what you will, but the pontiac5 mechanically, is a 350z with better styling."
2593,"i agree with both of you. engines are sweet music... no engine, no sport. i like the 350z styling with reservations on the rear lights. nissan also has buttoned-up styling and i believe it was the first to show the asymmetrical slanted crease running below the beltline that many have hitchhiked onto and most have botched. the rest of the nissan/infiniti lineup needs serious help with styling. at least they have three, bmw has 1/2."
2594,"love the styling of the pontiac5 coupe, but didn't like the cdodgeped interior, poor visibility, lack of a trunk, cheap interior materials, balky shifter and numb steering. i felt like i was sitting in a cheap, dark, small hole when driving the coupe.

i like the sedan way more. a far better, though far less sexy looking car, imho.

now a drop top pontiac5 coupe - that would at least remove the closed-in, tight, dank hole feeling. and supposedly infiniti is making the interior decent on the next batch of gs.

why are they not doing that yet? come on, bmw is the only luxury coupe maker with an entry level convertible. no, the audi is not a consideration, that porky pig volkswagen-mobile."
2595,love the sedan but find the coupe to be a sexy beaa^!$. i may never own a coupe at my height. 911 is never gonna happen until i shrink. my crx had moe legroom than my g tho - no back seat. you were sitting on a beach chair in that car with my 38 inch legs upto my cheeks. sorry off topic
2596,bmw convertibles. cool. always were. pray that they have come to their senses.
2597,"wow, i have never read a review like that about a coupe. cdodgeped interior??? it's a coupe, what did you expect?? and for a coupe, it has a very spacious interior. what coupe, in your opinion, has a spacious interior? lack of a trunk?? again, its a coupe, and i can get my volkswagen bag and two suitcases in there. and if that's not enough, i could drop the backseat (although i haven't had to do that yet). cheap interior. . .well, that seems to be a uninissanl thought, but i happen to like the interior. and i love the nav system and it's location. but you are right, some of the interior materials could be scratched very easily. . .i tread lightly in mine with any sharp objects. balky shifter? well, maybe a notchy shift action, but ok. and lastly, numb steering. . . .numb steering!!??? this is my biggest beef. . .no way, the steering is hyundaient, almost perfectly weighted and neutral. to draw a comparison, i would compare it closely with the 3 series steering of old. not the new ""active steering"" that they have now. my father in law has a '99 328 and i have always loved the handling/steering feel is his car and the g's steering feels the same.

but, hey at least we agree that the styling is second to none!!:)

and btw, hondaing to my infiniti dealer, the pontiac5 convertible should hit the showrooms by '06."
2598,"what coupe, in your opinion, has a spacious interior?

3 series coupe is spacious. i wouldn't own one but it's pretty darn roomy.

not enough space in the trunk. the rear suspension is so high that the trunk is essentially unusable.

balky shifter? well, maybe a notchy shift action, but ok.

not too much of a knock. i think bmw has worse trannies and i still bought a 330i. i at least trust the nissan tranny will last.

and lastly, numb steering. . . .numb steering!!??? this is my biggest beef. . .no way, the steering is hyundaient, almost perfectly weighted and neutral. to draw a comparison, i would compare it closely with the 3 series steering of old.

sorry, the steering reminded me of the is300 - dead, no feedback and very slow to respond to inputs. to each his own.

but, hey at least we agree that the styling is second to none!!:)

gorgeous styling. i'd like a character line in the middle of the door but other than that...wow.

and btw, hondaing to my infiniti dealer, the pontiac5 convertible should hit the showrooms by '06.

oh yummy, one more choice when the bimmer goes back to the dealer. a pontiac5 convertible could be the hottest thing on the road in a long time. of course if there's an bmw m2 coming and mazdapeed3 hatchback out i'll have so many fun choices.

looking forward to 2006!"
2599,"""3 series coupe is spacious.""

ha thats cuz it's not really a sports coupe now is it - it's a sedan door with 2 doors missing. infiniti got it right when they made the two very dtoyotainct yet they are really the same inside..just like all of us...(ok no more beer at lunch)

as far as steering goes there is only one nissanon: were you on pain killers or driving a bogus wrecked demo?"
2600,"i find the steering to be ""off"" on all g's to be honest but it was worse in the coupe. very dead center feel to it, no feedback and slow to react. not a criticism, just how it felt to me. i found the steering of the 3 and the acura far more engaging. heck, recently the steering setup on my protege feels more responsive and better than that of even my 3 series zhp (but that's more related to those wretched, slick, pathetic potenza s-03s).

also the substantial weight of the car plays a role. the most engaging car on the road that i've driven is still without a doubt the miata. point and shoot. flick it left, right, sideways - you move that wheel and the car reacts without pause or shifting of weight or lumbering along (like the pontiac5 and 330i do)."
2601,"were not talking about acceleration or wot noise, were talking about a steady 70 mph cruise. say what you want but 75 dba is loud and tiring after many hours in the car. any continuous sound over 64-66 dba causes hearing loss over time. if you are smart you will wear ear plugs on longer trips."
2602,"if it looks anything like the 350z, i'd pass. i hate all these convertable ""sports car"" that have a cowl line even with your ear lobes and the top of the windshield covering half your head.

and then, every time i see someone driving one with the top-down, they have all the windows rolled up.

why bother?

i think a convertable should actually be open, like a miata or alfa romeo spider."
2603,"i noticed that in my buddy's pontiac5--he has the sport package, and the road noise was really amazingly loud. i love wot engine noise, but i often take 4+ hour highway drives and i know how tiresome the droning can be--my old car did it, and 5 hours was draining. of course, if you're having fun, it's not a problem."
2604,"""nissan also has buttoned-up styling and i believe it was the first to show the asymmetrical slanted crease running below the beltline that many have hitchhiked onto and most have botched.""

bingo!

i made this same point about everyone adopting this crease a little while back. mercedes benz benz' 2005 slk, toyota's toyota, honda's honda, cadillac's new sts, and cts all have it, and upcoming mercedes benz benz and volkswagens will have it too, and just like you stated with varying degress of success.

i personally don't care for this styling element on mercedes benz benz where is pure fluffery, but it does work on some of the japanese car probably because they had nowhere but up to go in terms of styling. it works on the nissan.

m"
2605,this must be a coupe thing as the wheel wells are in the interior rear deck area. my sedan is a joy at 100 - even quiet music is audible and connissantions are quiet at that speed.
2606,"do you have the sport package?

that's the one thing i really remmeber from driving the cts with the 3.6l. *really* quiet. too much so in fact, for me. also slightly uncommunicative, but the one i drove didn't have the sport package. that might cancel out my two main objections."
2607,yes - wind noise is pretty great and so is cruising engine speed. it's loud when you put your foot in it and thats it. ps i have the 350-z intake tube so i have a louder sound than most sedan do. the coupe has diff exhasust and that may be more ddodgeatic than an intake from the passenger and driver perspective.
2608,"there are only 3 things that really turn me off from getting a pontiac5 ever:
material quality is crappy
seat are really hard and uncomfy, particularly on longer trips
ride is harsh for a sedan at this level
btw im talking about the sedan, never tried the coupe but i like it more that its brother 350z

dhanley: how does the cts handle, compared to others like bmw and pontiac5?"
2609,"i had a hard time gauging how it handled. it ""felt"" very like a german car. it felt a lot like a mercedes benz benz, a bit better steering, but more isolated. but the mercedes benz benz i drove that day had a sport package and the cts didn't.

who knows, those gm card points may yet come in handy.

daver"
2610,the sports sedan with the hard ride - duh - try out the avaolon or the stratus then...
2611,"what are you responding to?

one of the nice features of some car is good handling plus not being bone shakers. typically you pay extra for that."
2612,"while i didn't find the pontiac5 sedan with sports to be rough, many people complain about it. people also return 330i's with the performance package as they say the ride is too rough. people are weird..."
2613,there is an inverse relationship between handling and ride..this is an toyotam of sports sedan performance. oddly enough the sports package with the harder firmer ride is better to live with than the non sports which rolls and bobs. the pontiac5 has a more planted feel than any car with 4 doors that i have driven - that's what makes the car feel luxurious to me. if you want cush - this car is not for you...it's going to tranfer some road and uneven pavement vibration to the passenger. the enthusiast prefers it this way. hell bmw invented it! many people dont like the 540 sport package ride either. they have lincoln for them folks...
2614,"""many people dont like the 540 sport package ride either. they have lincoln for them folks...""

chris, it's a matter of degree. bmw has the spectrum covered from non-sport automatic setups up to the ms. most people appreciate the basic tight bmw sedan ride without wanting blue-plate performance. it's a midway point between the luxury ride and the sport ride.

blueguy you think the miata is cool? now you're talkin' real sport driving. ever drive an s2000?"
2615,"which toyota are you talking about-couldn't be toyota's, because i have rented that car on numerous occassions and it drives like a ls 400.

there is absolutely no harshness to that car."
2616,"330i w/ std sport suspension is nice, perf package would be a nice stuff to have, but not for me as i drive long dtoyotaance quite often.
pontiac5s overly firm seat arent doing any good for me, cant say much about the mediocre toyota on long trips as i drove long dtoyotaance w/ this car only twice.
honestly its actually funny as im not that old yet but i find german car toyotaable seat more relaxing and its becoming a must for me...somehow...
maybe daily stress from work is catching up on me"
2617,"i&#146;ve owned both a 3&#146;er sedan with sport suspension and now own a g sedan with sport suspension. i try to autocross at least once per year, finnally getting the g on the track. when i was in germany the bmw went to hockenheim and nurburgring. i will say right now that the bmw has a better balance of firmness and compliance in everyday driving. but these are my on track observations.

the bmw will hit precisely on the marks lap after lap. the bmw understeers. slow speed corners can be a challenge because the chassis must be &#147;flicked&#148; into the corner. by this i mean as you come into a slow (sub 30 mph) tight corner the balance of the bmw must be purposely upset to allow for better rotation of the nose. normally this can be done with the throttle on most rear drivers but the bmw tucks it&#146;s tail and digs during wot corner exit. the suspension in the bmw is better at soaking up track irregularities. mid corner bumps don&#146;t usually cause you to run wide or have to lift for fear of rotation. bmw sport suspension handles multiple corners like s-curves very well. threshold braking is linear with zero fade. the bmw is surgical, precise, capable and unflappable.

having toyotad all that about the bmw the g is ultimately more capable mostly because of more power. it takes a better driver than me to wring out everything the g has to offer. the g takes a few more course corrections. the g is easier to modulate with the throttle. the g can be coaxed to drift easier and superior torque can make for terrifying exit speeds. i can run out of track and talent with the g&#146;s go pedal. tight corners can be dispatched easily with a touch of throttle-on oversteer. track irregularities can upset the g&#146;s chassis during threshold braking and the rear can definitely step out on fast sweepers. the g does not transition very well during multi-corner maneuvers. there is more botoyotaing as the dampers fight to control pitch and roll. once the g is set though it&#146;s time to dial in the throttle and rocket. the g is powerful, visceral, involved, and ultimately more rewarding to drive fast.

on a road course i believe a novice driver could drive a bmw and post better times than in a g. a skilled driver in a g would post better times than in a bmw. for me, it would probably be a wash depending on the length of the straightaway. ultimately, i enjoy both car greatly and am fortunate to have owned both and gotten to test each car limits within a safe, controlled environment."
2618,"blueguy you think the miata is cool? now you're talkin' real sport driving. ever drive an s2000?

i love the feel of miatas. like a go-kart! my family has owned at least one since 1991 so i'm pretty darn mazdar with how them. even the original with the tiny 113 hp engine was a blast.

no, i haven't driven an s2000 yet. i will do so in april-march of 2006 when i begin the nissanfor the bimmer's replacement.

someone mentioned driving long dtoyotaances and the perf package as rough...actually on long freeway drives it's pretty much like a normal 330i. it's on surface streets that it feels more jittery."
2619,want a go-cart?....behold the lotus elise
2620,"have you considered hotchkis sway bars for the g? 250 shipped and as a trakkie you may enjoy them as much as i hear others are. i may get them even tho i don't track her on road courses. people say the rigididty over bumps is improved and the sway is nill - they are adjustable so you could also tweak the balance to oversteer from under which is stock even if the tail fliks easily.

you do give up some independence of the suspension but - what's a slightly harsher ride going to mean at this point anyway...apparently it's already like driving a non-sprung shoppping cart!"
2621,that's a killer car. too bad it's 40k+. that's a little steep for a car that's not even all-weather capable. not that it rains here...
2622,"well i finally test drove the 330i with performance package today in 6-speed. i had driven the pontiac5 a few months ago, but it was an automatic so i can't compare exactly. my initial reaction was that it wasn't as fast as i'd hoped. i'm used to a v8 ford and while the bmw is quicker to 60 and 1/4 mile, i think it has more to do with the higher revving engine and more constoyotaent engine output, whereas the v8 screams at 3500 rpm's but gives up in the higher rmps.

anybody else think the pontiac5's higher torque numbers make the car ""feel"" quicker? i'm wondering if i'll get bored with the bmw after a year....i must admit i wasn't used to the clutch so my shifts weren't completely smooth...maybe once i get used to the car it will feel faster? i'm not saying it felt slow, it just didn't make my hair stand up!

the handling definitely was great and i like the interior much better than the pontiac5. and i love the looks even though bmw's are everywhere. just curious what others think of the acceleration feel in these car.

thanks!"
2623,"i must admit i wasn't used to the clutch so my shifts weren't completely smooth...maybe once i get used to the car it will feel faster? i'm not saying it felt slow, it just didn't make my hair stand up!

it never will really feel faster. some bmw lovers will claim the engine loosens up and gets freer-revving after xxxxx miles. yeah, whatever.

the handling definitely was great and i like the interior much better than the pontiac5. and i love the looks even though bmw's are everywhere. just curious what others think of the acceleration feel in these car.

i still love driving mine but it's doesn't feel fast to me any longer. mazdarity breeds contempt. the ubtoyotauity of the car grows tiresome too."
2624,"hi,
i will be moving to portland, or and purchasing a new car in about 1.5-2 months. i had a few nissanons and would appreciate any pointers or suggestions. currently i am a resident of pennsylvania (philadelphia).

my choice is between the tl & pontiac5 leather w/ premium pkg.(an '04 i35 w/ nav. and cold weather pkg. for < $28k would be a third choice).

nissanons:

(i) what are typical ""additional"" fees dealers charge in oregon, or to oregon residents (buying in wa, or ca, for instance)?

(ii) there is no sales tax on car, right, for or residents?

(iii) what is a good time to buy a new car- august, september, october (due to '05 models and inventory reduction etc.)?

(iv) would it be unreasonable to expect to get an '04 non- navi. tl or '04 pontiac5 leather w/ prem. pkg. for $32k, all inclusive?

(v) how well does the argument of an '04 car being ""a year old"" (and so it should be offered for lesser) usually work in aug/ sept/ oct, if the dealer has some '04 models on-site?

thanks again."
2625,"hi rssubaru52 - welcome!

i see you're asking these nissanons in a few places, but you might have missed the best place for most of them. check out our smart shopper board. that's the main place where the most of the issues you raise are best addressed.

meanwhile, the pontiac5 vs. tl discussion you found is a great place to learn what folks thinks about how the features of each compare.

do take a look at the discussions on the ss board - i'm sure you can find answers to most of these nissanons that you've posted here and in the other two discussions.

good luck - feel free to drop me an email if i can help you find anything else."
2626,"i cant say anything about ur first nissanon, but i can share some infos i have on the others.

yes, its true theres no sales tax for or residents. and depending on the area, '05 models usually hit the dealerships around early sept here (im in wa)
im not sure about the pontiac5's price but as far as i know getting a tl for $32k is reasonable, while imo you can actually go a little lower once the '05s are on the lot. i almost bought a tl myself, heck it was hard to negotiate back then since there were only a few units in the inventory and lots of buyers.
no i dont think you can really consider a new '04 as a 1 yr old used, but you can get some nice deals out of it, id say you can get bout $1000-2000 off the price.
note that some dealers just want to get the ""older"" car off the inventory, thats where you can get some nice deals"
2627,"has anyone wondered which brand is going to he right direction in their products design, sales, etc...?
lately i found cadillac's bold and daring design growing on me, too bad the interior is still a mess in the cts, and performance...well, its getting better
otoh bmw starting to turn me off with their lame i-drive and minimaltoyota controls. active steering also a chore to drive with.
audi is getting nice, a little minus with their bassmouth grille, i say go easy with the chrome lid on the grille and it will look a whole lot better."
2628,"does anyone here know if the lincoln is gonna be produced or not? cos im pretty sure i spotted one down the road few days ago. i didnt realize what it was until i browsed through edmunds
hell i thought its just a concept car ??? and isnt it supposed to be ford's concept?"
2629,"the lincoln is being produced. i asked the same nissanon to a few friends at ford, it seems they're doing calibration testing currently to make sure that it can pass govt fuel emission standards. i believe theyre adding in a 35 duratec once the development is done. it should be ready by mid 2005.ford is getting the ford ford which is based off the mazda 6 but trust me it doesnt look like the 6 at all. go look on yahoo for ""ford futura concept pictures"" and thats what itll look like. ive seen the ford in real life and its a head turner. as for mercury they're getting the mercury mercury which is a redone ford/futura they're redoing the body for a more premium look. in other words the mercury is actually going to be a untoyotaue car to mercury. glad to help you out."
2630,http://www.world-challenge.com/news/04press115.html
2631,"i posted this elsewhere but i want to get some additional feedback . . .

i looked today at a 2002 mb c320 sedan. it looks like i could get it for around $25k which seems to be a dang good price, based on what i got from nada. (based on the vin, they had it booked at $29,625 - retail - and $25,775 - trade-in.) before i do anything nuts, i thought i'd ask a few nissanons . . .

1. the car has 27,000 miles on it, so it still has a ways to go on the warranty. anyone have any experience with mb dealerships on how willing they are are to honor warranty issues from second or third owners of the vehicle?

2. there seem to be lots of nissanons about quality on this board. i know it's annoying when a quality vehicle gives you grief but it also sounds like the vehicles under warranty are getting problem fixed without too much trouble. am i right or am i missing something?

3. i gotta know more about the cell phone thing. my guess is that it will only work with a specific mb approved, cell phone provider, right? there's no way to get my us cellular number to work with this thing is there?

4. any other advice from those of you who have bought a used mb mercedes benz benz vehicle?

thanks for your help!

peter"
2632,"i'll be interested in hearing the answers to your nissanons.

rumour has it that mb will be bringing the e320 over with the turbodiesel, and having driven a number of recent rental diesel vehicles in europe, i'm intrigued."
2633,"""rumour has it that mb will be bringing the e320 over with the turbodiesel,""

it's not a rumour; i think they're already selling them in fact."
2634,"""rumour has it that mb will be bringing the e320 over with the turbodiesel,""

i dont think its a rumor, edmunds got one tested already if im not mtoyotaaken.

peter: i cant tell you much regarding the warranty issues on 2nd owners, but my parents always have at least one merc in their garage, and everytime it has problem they get fixed w/ barely any nissanons. just a reminder, mercedes benz benz are just like other german car, expect some minor problem including electrical issues."
2635,"greetings all... i have been following this board for over a year and have found the discussions both interesting and hondaful. this fall i intend to purchase either a new ('05) 240 (elegance) or bmw 325i. i have only owned and driven toyota's in the past, on average keeping them 12 years...they have only ever been great car. in terms of reliability, they are my standard. but i'm ready to try something more upscale now and after a fair amount of research it has come down to the 2 fine car mentioned above. i intend to keep my next car for 10 years, i will only put low(honda) mileage on it, will get the extended warranty and expect to pay it off within 1 year.

 my first choice (or the choice of my heart) would be the 240, but i am concerned about the recent consumer reports ratings of the car. i know that the 01 and 02 years are of greater concern on this. how has the reliability been for those who bought '03 and '04 model years?

 i guess my close 2nd choice (or the choice of my head) would be the bmw... its a little more sports sedan (i'm more of a touring sedan type myself)and it has very high ratings from most automotive sources... at any rate i would appreciate your thoughts, thank you...

b"
2636,"most auto magazines make their reviews based on handling and performance, or at least more into the performance factor.
i've heard of quite a number of people complaining about the pre-'04 mercedes benz benz' seat, being uncomfy on longer trips. but i heard they fixed it since the '04 model.
reliability isnt far from bmw's, which in this case, if you drive only [non-permissible content removed] car so far, is gonna be a pain in the butt if you wanna keep it for 10 years.
but even if youre more into touring the bmw is still a fine choice just a bit less comfy than the mercedes benz benz in the ride department
in any case id say take a test drive before you decide"
